"tradetype","districtofficecode","districtofficename","countryoforigin","countryoforiginname","countryofdestination","countryofdestinationname","tariff","statisticalunit","transportcode","transportcodedescription","yearmonth","calendaryear","section","sectionanddescription","chapter","chapteranddescription","tariffanddescription","statisticalquantity","customsvalue","worldregion"
"Imports","PEZ","Port Elizabeth","DE","Germany","ZA","South Africa","27132000","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27132000 - Petroleum Bitumen","20000","226446","EUROPE"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","27149090","KG","03","Road","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27149090 - Other","32","50","AFRICA"
"Imports","PEZ","Port Elizabeth","DE","Germany","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","275.39","80469","EUROPE"
"Imports","PEZ","Port Elizabeth","IE","Ireland","ZA","South Africa","27030000","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27030000 - Peat (Including Peat Litter), Whether Or Not Agglomerated","60000","42848","EUROPE"
"Imports","PEZ","Port Elizabeth","DE","Germany","ZA","South Africa","27101152","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101152 - Other prepared lubricating oils","3769.17","355426","EUROPE"
"Imports","PEZ","Port Elizabeth","DE","Germany","ZA","South Africa","27101147","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101147 - Lubricating grease","27350","827362","EUROPE"
"Imports","PEZ","Port Elizabeth","ES","Spain","ZA","South Africa","27129010","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27129010 - Paraffin wax","12500","179383","EUROPE"
"Imports","PEZ","Port Elizabeth","SE","Sweden","ZA","South Africa","27101149","KG","00","Transport mode not specified (Unknown - Other)","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27101149 - Prepared lubricating oils, in containers holding less than 5 li","5.05","3294","EUROPE"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","27109930","KG","03","Road","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27109930 - Other","1","25","AFRICA"
"Imports","VRH","Van Rooyenshek","LS","Lesotho","ZA","South Africa","27050000","KG","03","Road","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27050000 - Coal Gas, Water Gas, Producer Gas And Similar Gases, Other Than Petroleum Gases And Other Gaseous Hydrocarbons","103","27808","AFRICA"
"Imports","RIC","Richards Bay","NL","Netherlands","ZA","South Africa","27011900","KG","00","Transport mode not specified (Unknown - Other)","201004","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27011900 - Other Coal","3296232","4500149","EUROPE"
"Imports","VLD","Vioolsdrif","NA","Namibia","ZA","South Africa","27012000","KG","03","Road","201003","2010","5","5 - Mineral Products","27","27 - Crude, Coal, Petroleum and Electricity","27012000 - Briquettes, Ovoids And Similar Solid Fuels Manufactured From Coal","50435","92603","AFRICA"
